"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2015","36,210","36,148","36,211","36,030","2.45K","0.61"
"Dec 31, 2014","35,990","37,205","37,324","35,858","21.33K","-3.65"
"Dec 30, 2014","37,352","36,568","37,746","36,422","24.64K","2.38"
"Dec 29, 2014","36,484","37,377","37,534","36,431","17.40K","-2.23"
"Dec 26, 2014","37,315","36,655","37,644","36,655","19.74K","2.39"
"Dec 24, 2014","36,445","36,360","36,599","36,319","9.14K","0.06"
"Dec 23, 2014","36,423","36,138","36,660","35,924","17.79K","0.74"
"Dec 22, 2014","36,155","36,918","37,150","35,830","18.14K","-2.13"
"Dec 19, 2014","36,940","36,453","37,030","36,452","16.18K","1.05"
"Dec 18, 2014","36,555","36,899","37,250","36,449","22.07K","-0.48"
"Dec 17, 2014","36,731","36,762","37,047","36,226","22.81K","0.01"
"Dec 16, 2014","36,727","38,191","38,595","36,162","47.99K","-4.14"
"Dec 15, 2014","38,315","38,583","38,889","38,198","18.48K","-1.01"
"Dec 12, 2014","38,707","38,784","38,899","38,460","16.12K","-0.04"
"Dec 11, 2014","38,722","38,668","38,990","38,330","19.01K","0.14"
"Dec 10, 2014","38,668","38,500","39,042","38,162","28.67K","0.38"
"Dec 09, 2014","38,521","36,797","38,730","36,711","35.29K","5.26"
"Dec 08, 2014","36,595","36,610","36,913","36,537","13.98K","1.01"
"Dec 05, 2014","36,230","36,250","36,400","35,760","0.15K","-0.76"
"Dec 04, 2014","36,507","36,300","36,657","36,081","0.35K","0.61"
"Dec 03, 2014","36,285","36,139","36,535","35,931","0.26K","0.35"
"Dec 02, 2014","36,158","36,200","36,587","35,600","1.03K","-1.54"
"Dec 01, 2014","36,723","33,146","36,950","32,626","6.31K","6.36"
"Nov 28, 2014","34,527","35,785","35,785","34,385","23.87K","-3.79"
"Nov 27, 2014","35,887","36,454","36,454","35,705","17.69K","-1.93"
"Nov 26, 2014","36,594","36,521","36,662","36,432","12.96K","0.20"
"Nov 25, 2014","36,520","36,350","36,776","36,350","29.17K","0.76"
"Nov 24, 2014","36,245","36,138","36,366","36,000","18.14K","0.46"
"Nov 21, 2014","36,080","35,901","36,529","35,703","32.89K","0.73"
"Nov 20, 2014","35,819","35,920","36,150","35,632","24.79K","-1.52"
"Nov 19, 2014","36,372","35,790","36,660","35,341","37.72K","1.59"
"Nov 18, 2014","35,804","35,661","36,380","35,661","29.11K","0.49"
"Nov 17, 2014","35,629","35,981","36,284","35,520","30.09K","-1.44"
"Nov 16, 2014","36,150","36,150","36,150","36,150","0","0.33"
"Nov 14, 2014","36,032","34,568","36,266","33,938","50.60K","3.82"
"Nov 13, 2014","34,707","34,745","34,990","34,581","22.69K","0.03"
"Nov 12, 2014","34,695","34,758","34,955","34,514","21.02K","-0.32"
"Nov 11, 2014","34,805","34,455","34,940","34,287","26.29K","0.17"
"Nov 10, 2014","34,745","35,173","35,190","34,537","22.57K","-0.15"
"Nov 07, 2014","34,796","34,100","35,142","33,491","47.82K","1.53"
"Nov 06, 2014","34,271","34,120","34,350","33,901","18.01K","-0.41"
"Nov 05, 2014","34,412","35,227","35,227","33,730","53.32K","-3.05"
"Nov 04, 2014","35,495","35,789","35,810","35,340","13.27K","-1.24"
"Nov 03, 2014","35,942","35,565","36,125","35,290","23.71K","0.41"
"Oct 31, 2014","35,797","36,381","36,431","35,123","45.95K","-2.12"
"Oct 30, 2014","36,574","38,125","38,130","36,310","43.09K","-4.44"
"Oct 29, 2014","38,273","38,155","38,326","37,968","14.95K","0.38"
"Oct 28, 2014","38,129","38,135","38,467","38,106","17.74K","-0.04"
"Oct 27, 2014","38,145","38,070","38,210","37,935","13.59K","0.19"
"Oct 24, 2014","38,074","38,050","38,399","38,014","9.23K","0.15"
"Oct 23, 2014","38,016","38,133","38,170","37,988","5.13K","-0.51"
"Oct 22, 2014","38,209","38,674","38,719","38,070","21.43K","-1.44"
"Oct 21, 2014","38,767","38,600","38,975","38,540","21.79K","0.61"
"Oct 20, 2014","38,533","38,410","38,823","38,410","17.24K","0.35"
"Oct 17, 2014","38,399","38,750","38,882","38,362","19.77K","-1.22"
"Oct 16, 2014","38,872","38,912","39,180","38,610","29.11K","0.27"
"Oct 14, 2014","38,767","38,480","39,018","38,480","24.15K","1.12"
"Oct 13, 2014","38,336","38,730","39,039","38,280","22.46K","-0.46"
"Oct 10, 2014","38,512","38,413","38,639","38,270","19.99K","-0.27"
"Oct 09, 2014","38,615","38,350","39,099","38,350","30.84K","1.04"
"Oct 08, 2014","38,217","38,362","38,875","38,164","25.88K","-0.38"
"Oct 07, 2014","38,363","38,596","39,144","38,130","30.09K","-0.32"
"Oct 06, 2014","38,488","38,019","38,600","37,941","12.68K","1.70"
"Oct 05, 2014","37,845","37,845","37,845","37,845","0","-0.11"
"Oct 03, 2014","37,888","38,555","38,555","37,211","18.09K","-2.10"
"Oct 01, 2014","38,702","38,260","39,083","38,146","27.21K","0.48"
"Sep 30, 2014","38,516","39,337","39,345","38,112","38.41K","-2.13"
"Sep 29, 2014","39,354","39,100","39,478","39,036","15.28K","0.46"
"Sep 27, 2014","39,172","39,172","39,172","39,172","0","0.01"
"Sep 26, 2014","39,169","39,350","39,633","39,000","20.32K","-0.16"
"Sep 25, 2014","39,230","39,090","39,434","38,722","28.79K","-0.09"
"Sep 24, 2014","39,265","39,472","39,692","38,964","24.58K","-0.62"
"Sep 23, 2014","39,511","39,400","39,894","39,110","22.43K","-0.16"
"Sep 22, 2014","39,573","39,348","39,677","38,831","27.95K","-0.13"
"Sep 19, 2014","39,626","40,910","40,964","39,525","27.33K","-3.20"
"Sep 18, 2014","40,934","41,201","41,201","40,600","21.23K","-1.06"
"Sep 17, 2014","41,374","41,497","41,530","41,204","11.31K","-0.25"
"Sep 16, 2014","41,479","41,469","41,774","41,330","18.38K","0.19"
"Sep 15, 2014","41,400","41,400","41,575","41,213","13.39K","0.18"
"Sep 13, 2014","41,325","41,325","41,325","41,325","0","0.04"
"Sep 12, 2014","41,309","41,180","41,398","41,011","16.96K","0.09"
"Sep 11, 2014","41,270","41,941","41,975","41,226","20.03K","-1.64"
"Sep 10, 2014","41,956","42,090","42,274","41,875","12.67K","0.01"
"Sep 09, 2014","41,951","41,866","42,099","41,784","12.78K","0.35"
"Sep 08, 2014","41,804","42,070","42,376","41,640","14.35K","1.18"
"Sep 05, 2014","41,315","41,650","41,836","41,294","0.04K","-0.41"
"Sep 04, 2014","41,485","41,919","41,990","41,380","0.09K","-0.74"
"Sep 03, 2014","41,793","41,689","42,500","41,430","0.27K","0.42"
"Sep 02, 2014","41,617","42,079","42,221","41,515","0.46K","-0.92"
"Sep 01, 2014","42,004","42,200","42,288","41,954","2.42K","-0.59"
"Aug 29, 2014","42,255","42,282","42,471","42,146","7.18K","-0.35"
"Aug 28, 2014","42,405","42,050","42,930","42,050","22.12K","1.13"
"Aug 27, 2014","41,933","42,018","42,150","41,801","12.84K","-0.12"
"Aug 26, 2014","41,985","42,003","42,475","41,940","16.73K","0.15"
"Aug 25, 2014","41,921","41,954","42,189","41,812","10.82K","-0.08"
"Aug 22, 2014","41,955","42,150","42,340","41,780","15.18K","-0.30"
"Aug 21, 2014","42,080","42,288","42,288","41,883","14.52K","-0.62"
"Aug 20, 2014","42,341","42,350","42,494","42,165","12.01K","0.24"
"Aug 19, 2014","42,240","42,720","42,775","42,111","14.99K","-1.00"
"Aug 18, 2014","42,667","43,050","43,050","42,507","11.05K","-1.38"
"Aug 14, 2014","43,263","43,429","43,500","43,070","15.87K","-0.12"
"Aug 13, 2014","43,317","43,719","43,875","43,091","18.63K","-0.90"
"Aug 12, 2014","43,712","43,719","44,050","43,555","13.63K","-0.31"
"Aug 11, 2014","43,847","43,515","43,908","43,414","9.87K","0.64"
"Aug 10, 2014","43,570","43,570","43,570","43,570","0","-0.02"
"Aug 08, 2014","43,580","44,100","44,308","43,472","18.64K","-0.53"
"Aug 07, 2014","43,814","43,966","44,125","43,628","15.66K","-0.24"
"Aug 06, 2014","43,920","43,498","44,183","43,492","18.68K","1.24"
"Aug 05, 2014","43,381","44,005","44,150","43,266","19.54K","-1.68"
"Aug 04, 2014","44,121","44,427","44,640","44,088","12.28K","-0.69"
"Aug 01, 2014","44,427","44,393","44,750","44,309","16.71K","0.06"
"Jul 31, 2014","44,399","44,355","44,800","44,272","17.74K","-0.18"
"Jul 30, 2014","44,480","44,336","44,533","44,076","12.70K","0.48"
"Jul 29, 2014","44,269","44,330","44,650","44,140","10.62K","0.22"
"Jul 28, 2014","44,172","44,390","44,534","44,065","13.65K","-0.24"
"Jul 27, 2014","44,280","44,280","44,280","44,280","0","-0.00"
"Jul 25, 2014","44,281","43,964","44,337","43,875","14.82K","1.13"
"Jul 24, 2014","43,786","44,700","44,950","43,728","23.59K","-2.54"
"Jul 23, 2014","44,928","45,100","45,166","44,878","11.26K","-0.37"
"Jul 22, 2014","45,097","45,001","45,300","44,734","20.02K","-0.17"
"Jul 21, 2014","45,174","45,011","45,535","44,975","14.57K","0.62"
"Jul 20, 2014","44,895","44,895","44,895","44,895","0","-0.08"
"Jul 18, 2014","44,931","45,551","45,571","44,761","16.32K","-1.42"
"Jul 17, 2014","45,579","44,700","45,838","44,642","23.04K","2.25"
"Jul 16, 2014","44,577","44,729","44,787","44,371","17.56K","-0.62"
"Jul 15, 2014","44,854","45,098","45,271","44,601","19.66K","-0.13"
"Jul 14, 2014","44,912","45,851","45,851","44,885","22.79K","-2.40"
"Jul 13, 2014","46,015","46,015","46,015","46,015","0","0.00"
"Jul 12, 2014","46,015","46,015","46,015","46,015","0","-0.12"
"Jul 11, 2014","46,068","46,400","46,400","45,921","12.10K","-0.38"
"Jul 10, 2014","46,242","44,900","46,395","44,840","31.73K","3.25"
"Jul 09, 2014","44,787","44,895","45,096","44,735","11.60K","-0.08"
"Jul 08, 2014","44,823","44,792","45,127","44,661","16.09K","0.10"
"Jul 07, 2014","44,780","44,950","44,950","44,576","12.32K","-0.61"
"Jul 06, 2014","45,056","45,056","45,056","45,056","0","0.96"
"Jul 04, 2014","44,627","44,490","44,750","44,302","0.09K","0.76"
"Jul 03, 2014","44,291","44,187","44,599","44,121","0.14K","-0.95"
"Jul 02, 2014","44,715","44,356","44,900","44,000","0.65K","0.94"
"Jul 01, 2014","44,298","44,315","44,768","44,236","3.13K","0.42"
"Jun 30, 2014","44,114","44,470","44,470","43,922","14.88K","-0.93"
"Jun 27, 2014","44,529","44,758","44,839","44,422","17.29K","-0.24"
"Jun 26, 2014","44,636","44,565","44,776","44,173","20.55K","-0.04"
"Jun 25, 2014","44,653","44,384","44,820","44,114","20.19K","0.36"
"Jun 24, 2014","44,494","44,311","44,970","44,216","21.65K","0.11"
"Jun 23, 2014","44,445","44,400","44,629","44,240","16.94K","-0.28"
"Jun 20, 2014","44,570","44,413","44,840","43,981","29.90K","0.58"
"Jun 19, 2014","44,311","42,350","44,539","42,350","34.42K","4.51"
"Jun 18, 2014","42,398","42,252","42,570","42,128","15.97K","0.06"
"Jun 17, 2014","42,374","42,097","42,448","41,766","19.89K","0.40"
"Jun 16, 2014","42,204","41,999","42,497","41,999","18.78K","0.79"
"Jun 13, 2014","41,875","41,311","41,900","41,305","17.39K","1.51"
"Jun 12, 2014","41,251","40,630","41,298","40,486","22.33K","1.59"
"Jun 11, 2014","40,606","40,550","40,840","40,475","14.28K","0.25"
"Jun 10, 2014","40,506","40,297","40,583","40,113","16.46K","0.52"
"Jun 09, 2014","40,297","39,980","40,370","39,980","12.44K","0.75"
"Jun 06, 2014","39,997","40,113","40,398","39,828","18.27K","-0.71"
